"Month","Python(%)","JavaScript(%)","Java(%)","C#(%)","PhP(%)","Flutter(%)","React(%)","Swift(%)","TypeScript(%)","Matlab(%)"
"2020-01",71,33,16,42,18,37,61,25,46,46
"2020-02",76,37,17,45,19,41,65,31,51,53
"2020-03",69,34,15,41,16,41,62,23,49,50
"2020-04",72,35,15,37,16,48,64,23,50,51
"2020-05",70,33,14,35,16,50,66,24,49,50
"2020-06",66,34,14,38,16,49,65,25,53,48
"2020-07",68,34,13,38,17,53,67,34,53,43
"2020-08",68,33,13,34,16,49,52,29,48,44
"2020-09",71,33,16,38,15,48,55,27,50,53
"2020-10",61,28,13,33,14,40,41,24,37,51
"2020-11",56,25,12,30,13,39,35,24,34,49
"2020-12",53,24,12,28,13,39,37,33,34,44
"2021-01",54,24,11,29,13,40,41,24,31,42
"2021-02",59,25,13,32,14,40,47,26,37,50
"2021-03",60,28,14,34,14,51,45,28,37,53
"2021-04",60,28,12,32,13,46,44,27,38,50
"2021-05",58,26,12,30,13,48,44,23,37,45
"2021-06",59,28,12,34,14,49,48,23,43,45
"2021-07",55,28,12,30,19,48,49,24,43,43
"2021-08",54,26,11,29,21,47,47,25,44,41
"2021-09",62,28,13,33,21,49,48,23,47,52
"2021-10",66,28,13,32,21,48,51,23,47,55
"2021-11",66,31,13,33,20,51,54,41,49,54
"2021-12",64,28,13,31,20,49,52,27,47,50
"2022-01",84,39,15,38,25,77,73,29,68,67
"2022-02",93,46,17,43,30,91,87,45,81,78
"2022-03",100,47,19,45,26,94,92,29,84,88
"2022-04",99,47,17,45,24,90,98,31,92,100
"2022-05",92,44,17,40,22,88,96,29,81,87
"2022-06",90,45,16,41,22,92,97,28,86,78
"2022-07",87,41,16,37,20,88,92,28,97,81
"2022-08",89,42,16,38,20,89,92,31,91,81
"2022-09",93,45,18,40,21,89,90,30,88,89
"2022-10",94,45,17,39,19,82,91,42,86,93
"2022-11",99,44,17,40,20,89,91,51,91,91
"2022-12",86,41,15,36,19,91,88,34,84,88
"2023-01",87,42,15,37,19,100,91,32,91,75
"2023-02",99,46,17,39,20,97,98,33,100,87
"2023-03",91,45,17,40,19,91,100,40,97,81
"2023-04",83,38,14,33,18,84,86,48,81,79
"2023-05",80,38,15,32,18,92,93,54,84,79
"2023-06",81,39,15,32,19,87,89,66,85,84
"2023-07",79,39,14,33,19,89,88,70,86,71
"2023-08",78,37,14,33,18,87,87,61,88,69
"2023-09",83,34,14,33,18,86,85,74,85,74
"2023-10",86,33,15,33,18,81,84,78,79,73
"2023-11",81,35,14,32,19,83,83,77,82,72
"2023-12",72,33,13,29,17,81,73,66,70,75
"2024-01",81,36,14,31,18,86,89,65,79,71
"2024-02",89,40,16,35,18,96,98,100,88,74
"2024-03",86,38,15,34,19,90,91,59,85,71
"2024-04",85,36,14,32,19,86,97,77,86,70
"2024-05",80,36,14,32,18,92,96,61,80,69
"2024-06",76,32,14,30,18,84,87,61,76,67
"2024-07",75,33,14,29,17,84,92,55,80,65
"2024-08",71,31,13,27,18,82,86,58,76,65
"2024-09",79,31,13,27,19,79,85,59,73,71
